squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
49374.0,38.0,0,0,63,55401.0,3,6,2000,1,1,3356,5269,555,0,10,4944387.0
60650.0,72.0,1,1,57,41780.0,5,5,2012,0,1,4858,1320,100,1,7,6074678.2
97867.0,19.0,1,1,66,63324.0,7,4,1997,1,0,3965,7291,805,0,3,9799102.7
64851.0,13.0,0,1,88,90453.0,7,7,1998,1,0,2127,5573,301,0,10,6492448.8
92090.0,7.0,0,0,9,28735.0,9,7,2020,0,1,6989,8355,504,1,5,9210284.0
76932.0,16.0,0,0,80,78108.0,7,9,2010,1,0,2074,6389,236,1,10,7698911.0
55592.0,68.0,0,1,10,80811.0,7,6,2021,0,0,7719,4694,372,1,0,5564877.1
46187.0,54.0,0,1,82,40362.0,8,7,1998,1,0,3100,1081,271,0,1,4630712.8
69648.0,9.0,0,0,3,14857.0,3,9,2011,0,1,7249,1582,620,0,5,6965618.1
32267.0,51.0,1,1,59,23473.0,10,8,2019,0,0,4674,6809,179,0,2,3235159.9
82910.0,41.0,0,0,73,6852.0,10,7,1995,0,1,9869,826,273,1,8,8295330.5
41086.0,93.0,0,1,33,68920.0,3,1,2007,1,1,4065,8914,687,1,6,4116465.7
71824.0,30.0,0,0,82,39940.0,1,10,1997,1,0,543,487,901,0,1,7190229.7
37845.0,93.0,1,1,53,30695.0,7,5,2004,0,0,4598,5486,524,0,3,3792884.4
88548.0,96.0,1,1,3,4531.0,6,1,1992,0,0,5585,3891,365,0,5,8861525.2
16547.0,85.0,1,1,40,23941.0,4,5,2008,1,1,2183,3447,119,0,10,1659757.8
34282.0,24.0,1,0,94,8087.0,9,9,1991,0,0,7021,8695,971,1,3,3440156.1
94129.0,29.0,0,0,81,87582.0,9,1,1998,0,1,6578,8860,254,0,3,9419500.8
87239.0,3.0,1,1,93,73555.0,6,4,2012,0,1,1532,3918,494,0,1,8734952.2
42820.0,94.0,1,0,58,62097.0,3,10,2002,0,0,5629,1745,885,0,2,4284262.2
2210.0,29.0,1,1,51,16373.0,8,7,2019,1,0,440,2468,202,0,4,230691.9
79833.0,76.0,1,0,84,49077.0,6,10,1996,0,0,29,1181,507,1,6,7996012.6
28435.0,46.0,0,0,50,72431.0,4,9,1998,0,0,1244,7263,698,1,4,2845599.8
38398.0,84.0,0,0,22,44513.0,6,8,1994,1,0,1618,9458,404,0,8,3842545.4
24578.0,60.0,0,1,4,8957.0,5,3,2000,0,0,3695,110,662,1,4,2463051.0
46226.0,25.0,1,1,81,79570.0,7,8,2006,0,1,5465,1316,904,1,8,4638847.6
45140.0,28.0,0,0,59,69587.0,10,8,1993,1,1,7134,1845,319,1,8,4520881.3
26622.0,47.0,1,0,71,84861.0,5,6,2011,0,0,7478,3249,374,0,6,2672589.1
1722.0,56.0,0,1,84,27948.0,8,8,2002,1,0,6240,8680,497,1,2,182838.2
77280.0,49.0,0,1,8,36165.0,1,3,2009,1,1,5583,4466,444,1,5,7734154.9
39272.0,95.0,0,1,79,61459.0,10,2,2020,0,1,3992,7916,458,1,3,3936310.0
52532.0,40.0,0,1,13,81736.0,6,6,2005,1,1,7799,6847,202,1,6,5256504.5
64505.0,89.0,0,0,92,18737.0,8,1,2008,0,1,970,5007,113,0,9,6459212.8
91458.0,44.0,0,0,49,73814.0,10,8,1991,1,0,2763,1749,108,1,6,9149688.1
77491.0,88.0,1,0,13,77053.0,10,3,2011,0,0,1982,7017,153,1,7,7755674.1
9145.0,20.0,1,0,59,73838.0,2,5,2009,1,0,8147,3620,841,0,4,919003.9
37557.0,3.0,1,0,41,73980.0,5,8,1999,1,1,755,4009,984,0,1,3764785.9
12386.0,19.0,1,1,5,95375.0,2,6,2018,0,1,1634,5062,259,1,5,1248980.8
87484.0,77.0,0,1,27,98136.0,1,1,2015,0,1,7495,654,332,1,6,8750467.5
72688.0,74.0,1,0,45,73176.0,6,6,2019,0,1,1941,5062,378,1,6,7275937.9
82707.0,79.0,1,1,25,50409.0,9,8,2011,0,0,140,8269,329,1,2,8278043.1
90103.0,17.0,1,1,93,67984.0,9,5,1990,0,0,2112,6620,478,1,6,9023848.0
23888.0,24.0,0,1,24,2000.0,4,6,2011,0,1,3055,3497,107,1,10,2394623.1
57295.0,95.0,0,0,69,32081.0,2,2,1994,1,1,9771,9634,951,1,7,5731510.4
24270.0,73.0,0,1,96,43678.0,1,9,2005,0,0,9110,973,987,0,0,2436202.5
14725.0,14.0,1,0,69,55962.0,4,4,1997,0,0,6787,1487,121,1,0,1484099.7
3951.0,35.0,1,1,28,75390.0,2,9,2016,1,1,3539,9112,909,1,4,404207.6
75868.0,84.0,1,0,57,39271.0,2,6,1997,0,1,8926,2374,752,1,7,7591848.7
2646.0,5.0,1,0,63,4499.0,10,8,2021,0,0,1143,1640,443,0,1,271693.1
99031.0,2.0,1,0,13,80361.0,2,2,2001,0,0,1396,7002,339,1,1,9908496.1
19677.0,43.0,1,0,79,13663.0,9,8,2000,0,1,1119,3919,375,0,8,1979423.0
65904.0,84.0,0,1,47,32271.0,3,1,2002,0,0,1605,3922,155,1,0,6596494.2
16733.0,20.0,0,0,4,79027.0,5,10,2019,0,1,9584,8914,841,1,3,1674111.9
49407.0,4.0,0,0,68,99200.0,8,9,2008,1,0,6894,7813,805,1,5,4947076.8
77807.0,91.0,0,0,46,6999.0,3,8,2015,1,0,8242,5719,984,1,9,7781711.5
40086.0,14.0,0,1,68,87059.0,7,7,2000,0,1,7910,4375,910,0,2,4014081.0
12196.0,85.0,0,1,17,72129.0,10,2,2007,0,0,3483,5787,933,0,6,1223454.7
94978.0,24.0,0,1,11,47741.0,6,5,1998,1,1,6898,5326,755,1,9,9501576.8
29798.0,98.0,0,0,25,60178.0,7,4,2015,0,0,6504,4054,462,0,2,2981776.5
15859.0,70.0,0,0,72,8823.0,1,3,1998,0,1,6085,1653,522,0,2,1591965.8
13087.0,55.0,0,0,12,91327.0,6,8,1997,1,0,5984,143,437,1,2,1310455.7
65205.0,6.0,1,0,19,32496.0,8,1,2004,0,0,9346,4422,467,0,5,6523874.4
55917.0,74.0,1,0,1,17288.0,8,10,2014,0,1,2007,6081,182,0,3,5594069.4
19084.0,54.0,1,1,96,57116.0,1,3,2002,1,1,5774,7169,954,1,6,1917423.2
92242.0,26.0,1,1,39,87265.0,10,7,2009,1,1,6405,476,894,0,2,9232332.9
89173.0,61.0,0,1,22,47398.0,6,5,2009,1,1,512,7359,254,1,10,8921642.9
98157.0,91.0,0,1,75,22411.0,7,1,2021,1,1,5340,7157,465,0,0,9823508.1
27488.0,91.0,0,1,36,82069.0,4,5,2008,0,1,304,5907,941,0,2,2755953.8
57015.0,65.0,1,1,80,26542.0,4,3,1994,0,0,4070,8082,512,0,7,5711455.4
8732.0,25.0,0,0,37,90654.0,6,6,2021,1,0,4070,8862,763,1,7,876270.1
24634.0,81.0,0,1,81,50872.0,9,9,1991,0,1,4967,6034,850,0,2,2467773.1
77661.0,24.0,1,0,56,41783.0,8,5,2013,0,0,6681,8439,713,0,2,7775177.3
62596.0,88.0,0,1,79,75617.0,4,9,2017,1,1,3152,1688,314,0,6,6272808.7
982.0,83.0,0,0,96,88937.0,7,8,1990,0,0,224,6186,350,0,1,101341.0
67073.0,45.0,1,0,59,62149.0,6,7,1996,0,1,4506,1274,638,0,1,6713052.6
6617.0,51.0,0,0,38,26766.0,10,4,2010,1,1,7115,5340,248,0,10,663333.0
58949.0,9.0,0,0,36,30936.0,7,9,1996,1,0,9186,1337,380,0,1,5897197.6
13121.0,51.0,1,0,94,71226.0,4,1,2000,0,0,2124,9219,108,1,4,1323713.0
27226.0,80.0,0,0,77,30704.0,10,2,2014,0,1,2978,4685,775,1,10,2726812.4
28920.0,1.0,1,0,72,88751.0,6,6,2007,1,0,6155,468,851,1,8,2901901.7
68365.0,98.0,0,0,82,80261.0,1,5,2001,1,0,8576,5657,663,1,3,6841624.1
92655.0,54.0,0,0,77,12209.0,7,4,1996,0,0,4932,4411,765,1,4,9267281.6
90050.0,66.0,0,0,49,52024.0,5,10,2014,0,1,6477,7548,572,1,0,9007562.4
91239.0,99.0,1,1,28,87820.0,9,6,2000,1,1,2326,2730,113,0,10,9133551.0
32974.0,74.0,0,0,70,84061.0,10,2,1995,0,1,4198,9864,141,0,3,3300049.5
26682.0,7.0,1,1,6,55531.0,8,4,2001,0,1,3514,1056,636,1,8,2675367.1
7438.0,70.0,1,1,20,32310.0,10,3,2003,1,1,7412,9673,921,0,2,753012.3
60774.0,97.0,0,0,93,92034.0,10,8,2017,0,0,7979,5039,510,0,1,6079496.7
19183.0,18.0,0,0,41,64943.0,2,10,2004,1,0,7151,5616,470,1,3,1919702.4
52478.0,20.0,0,1,22,91632.0,8,6,1992,1,0,9916,2688,428,0,9,5252648.2
58413.0,43.0,1,1,27,19305.0,3,10,1990,1,1,6367,6234,601,1,3,5852813.0
35752.0,37.0,1,1,88,40954.0,9,9,2004,0,0,4770,7965,593,0,5,3584645.4
68856.0,98.0,1,1,57,91700.0,10,6,2019,0,1,7138,4102,725,1,0,6893304.9
41972.0,18.0,0,1,49,40098.0,7,7,1995,1,0,842,820,846,0,0,4206464.5
19069.0,78.0,0,1,36,14650.0,10,4,1997,1,0,4306,5629,135,0,1,1910241.7
19793.0,6.0,0,0,4,38520.0,5,7,2012,0,1,4666,9056,854,1,0,1980251.2
18250.0,16.0,0,0,82,7383.0,7,10,2011,1,0,7751,6127,565,1,2,1829113.1
61335.0,61.0,0,1,13,28259.0,7,4,2018,1,0,2805,1332,104,0,7,6137391.8
77913.0,6.0,0,0,82,89070.0,9,3,2010,0,0,6930,9386,561,1,9,7794411.0
15975.0,97.0,0,0,80,85721.0,7,1,2021,0,0,7550,2211,912,0,4,1604852.1
50404.0,92.0,0,0,15,92234.0,10,1,1991,1,0,8257,4243,999,1,0,5042499.1
21346.0,36.0,1,1,36,23170.0,9,8,2016,0,1,7454,5489,559,0,6,2144809.6
47833.0,44.0,1,0,82,27128.0,10,7,2008,1,0,4111,9613,223,0,0,4791653.8
36905.0,38.0,0,0,96,69830.0,2,7,2004,0,0,9950,2629,705,0,10,3694640.4
21976.0,55.0,1,0,97,56352.0,6,2,2008,0,1,9374,218,777,1,3,2206738.8
39171.0,90.0,1,1,18,79154.0,1,10,2002,0,1,5721,6625,232,0,7,3923469.2
34220.0,50.0,1,1,33,30858.0,3,3,1996,1,1,5942,6266,976,1,1,3430761.6
46883.0,49.0,0,0,53,80204.0,8,2,2009,1,1,9286,4266,845,1,3,4691844.9
37111.0,54.0,1,1,85,78418.0,9,4,1991,0,1,2218,6396,679,0,7,3720632.1
66045.0,31.0,0,0,83,11438.0,5,9,2019,0,0,5031,7986,366,0,7,6607358.9
70936.0,60.0,0,0,21,37500.0,3,3,2006,0,0,8370,916,884,0,10,7094370.6
36334.0,63.0,1,1,13,83625.0,9,10,2007,0,1,150,5804,468,0,5,3640478.7
98450.0,23.0,0,0,33,73903.0,3,9,1999,1,1,6424,1754,984,0,9,9848719.9
63669.0,45.0,0,0,72,71321.0,5,9,2001,1,1,5474,1174,828,1,4,6372430.1
98710.0,68.0,1,0,40,95125.0,1,5,1994,0,0,3411,7396,260,1,4,9877813.4
96387.0,58.0,0,1,45,37619.0,3,5,1992,1,1,9583,6348,984,1,3,9643438.2
43418.0,87.0,1,1,64,25081.0,2,8,2010,0,1,6989,9545,736,1,3,4349322.0
32044.0,97.0,0,0,16,82718.0,10,8,2010,1,0,4205,5925,884,1,5,3205557.0
43920.0,77.0,0,1,93,48540.0,8,6,2003,1,1,7470,7023,451,1,7,4396723.3
34686.0,70.0,1,1,45,36301.0,5,5,2018,0,1,4689,4368,767,0,1,3478751.8
92594.0,8.0,0,1,27,30190.0,5,2,2016,0,1,5612,9224,124,1,1,9265539.6
47647.0,52.0,0,1,6,24285.0,10,2,2002,1,1,3220,9457,171,1,10,4768169.2
371.0,29.0,1,0,96,34470.0,9,2,2008,1,0,2383,6053,642,1,8,45524.8
10714.0,41.0,0,1,98,23803.0,5,6,1996,0,1,2598,1190,631,1,6,1075982.6
95157.0,76.0,0,1,86,13430.0,4,2,2002,1,1,8416,2820,798,1,6,9527400.2
67210.0,22.0,0,1,68,63246.0,3,9,2018,0,1,4144,1204,613,1,0,6731422.8
9840.0,58.0,0,1,36,85453.0,1,6,2012,1,1,6545,2563,446,0,0,990892.2
56240.0,94.0,0,0,45,98783.0,8,5,2007,1,1,8495,2980,727,0,5,5627160.7
71143.0,10.0,1,1,10,87834.0,7,6,2018,1,1,6797,5738,739,1,9,7124217.8
87502.0,32.0,0,1,89,59722.0,6,9,2009,1,0,2759,8599,973,0,3,8761066.9
35742.0,46.0,1,1,47,84138.0,7,1,2014,1,1,1732,6019,243,0,7,3581003.4
88652.0,76.0,1,0,36,17201.0,9,2,2008,1,1,2119,9567,713,0,3,8873177.8
2743.0,61.0,0,0,20,53307.0,8,2,1996,1,1,8385,859,474,0,8,276139.6
84697.0,11.0,1,0,47,17958.0,1,6,2015,0,1,6045,9909,116,0,4,8474421.5
17989.0,9.0,1,0,11,72938.0,8,5,2017,0,0,5679,2420,172,1,3,1802630.7
74947.0,40.0,1,1,17,79405.0,2,8,1994,1,1,4647,9180,874,0,3,7500281.4
19572.0,96.0,1,1,64,29717.0,4,1,2017,0,0,6782,4306,383,1,2,1969866.7
39897.0,78.0,1,1,34,90124.0,8,5,2019,1,1,6857,1567,877,0,9,3998497.9
98209.0,43.0,1,0,67,11091.0,2,8,2012,1,1,4714,8447,768,1,3,9826484.2
59520.0,52.0,0,1,40,79444.0,6,5,2007,1,0,2588,4357,985,0,7,5959253.7
4332.0,31.0,1,1,23,80285.0,10,7,2018,1,0,9996,1246,965,0,6,440601.8
97725.0,88.0,0,1,13,47226.0,4,3,1991,1,0,3938,8275,175,1,1,9777735.1
96877.0,77.0,1,0,94,77155.0,2,1,1992,0,0,9944,5824,481,1,2,9692657.2
13501.0,63.0,1,1,71,40399.0,4,4,1999,1,1,9039,8465,643,1,7,1356995.9
30144.0,93.0,1,1,94,75883.0,5,3,2019,0,1,7886,4098,253,0,4,3024682.9
40588.0,45.0,0,1,13,26995.0,5,9,2008,1,1,4056,8354,827,0,1,4064857.8
12903.0,19.0,1,0,65,61673.0,6,2,2005,0,1,1905,7347,808,1,4,1297674.5
17563.0,51.0,1,0,95,74094.0,6,8,2013,0,1,4369,7844,555,0,2,1762997.3
79620.0,60.0,0,0,63,65740.0,1,4,2019,1,0,7652,820,150,1,2,7965223.9
32136.0,96.0,1,1,82,56803.0,10,7,2012,1,1,1924,2390,694,0,4,3227676.2
9737.0,37.0,1,0,51,37533.0,7,7,2017,0,0,3023,3403,917,1,0,979748.7
1843.0,30.0,1,1,3,3.0,4,7,2007,1,1,1313,9063,706,0,5,189919.7
29310.0,74.0,0,0,3,78117.0,9,4,2000,1,0,10,5197,968,1,9,2932138.0
43636.0,13.0,1,1,11,23251.0,7,1,2007,1,0,4347,9943,561,0,5,4373848.7
15555.0,13.0,0,0,66,50637.0,4,2,2014,0,0,4754,4923,398,0,3,1558805.4
20222.0,16.0,1,1,16,52126.0,3,4,2006,0,1,7966,8165,370,0,2,2030464.6
79647.0,3.0,1,1,61,72814.0,6,5,2001,0,0,4387,1227,775,0,9,7974272.1
92204.0,27.0,1,0,33,1541.0,8,4,2008,0,1,2390,2590,516,0,10,9226065.8
98857.0,4.0,1,1,72,27821.0,2,2,2015,1,0,7778,8943,404,0,5,9898892.5
65908.0,28.0,0,0,84,28574.0,2,8,2008,0,0,830,7908,444,1,0,6598156.8
81316.0,71.0,1,0,8,49146.0,3,5,2006,0,0,8749,1772,765,1,10,8136403.6
80257.0,3.0,1,0,35,78384.0,8,8,2000,0,0,7626,5526,355,0,0,8028585.0
25012.0,61.0,1,0,2,66817.0,6,4,2014,0,1,4770,9207,735,1,8,2503623.4
41161.0,27.0,0,1,7,82132.0,4,9,1996,0,1,3694,733,278,1,1,4119394.6
34585.0,34.0,0,1,99,41029.0,6,2,2018,0,0,9137,9141,675,1,6,3471454.8
67753.0,72.0,1,1,78,31721.0,3,9,1995,1,1,7480,2068,929,0,6,6789580.5
58576.0,32.0,1,1,91,41433.0,5,5,2018,1,0,4552,4497,876,1,5,5866480.8
82524.0,50.0,0,1,61,37792.0,10,1,1995,1,1,29,9556,953,1,2,8259448.5
39385.0,6.0,0,0,27,1529.0,8,1,2002,1,1,5014,1638,362,0,1,3941795.2
73851.0,51.0,1,0,8,69766.0,6,2,2007,1,0,1690,7437,171,0,1,7387211.7
32709.0,47.0,1,1,80,86465.0,1,3,2006,0,1,2548,2351,162,0,5,3284181.6
16101.0,66.0,1,1,36,5438.0,5,1,2013,1,0,1772,6971,115,0,10,1621185.3
27040.0,94.0,1,0,2,27750.0,9,6,1997,1,1,2429,3573,166,1,4,2709165.7
44966.0,99.0,1,1,30,17577.0,9,3,2009,1,0,3266,2525,551,1,10,4509078.9
73441.0,90.0,1,1,82,96436.0,3,2,2014,1,0,8391,569,565,1,2,7352484.4
733.0,86.0,1,1,83,1839.0,4,5,2011,0,0,5749,3578,413,0,5,81775.1
24239.0,87.0,1,0,91,73056.0,4,7,1998,0,0,6656,7149,698,0,3,2427801.8
4258.0,51.0,1,0,30,90758.0,8,5,2003,0,1,7067,6792,685,1,10,430099.3
19303.0,90.0,0,0,23,52384.0,9,9,1999,1,1,7175,4896,154,1,7,1932867.9
22142.0,11.0,0,0,97,76427.0,3,8,1995,1,0,3913,7269,618,0,7,2220957.5
45441.0,29.0,1,0,66,21239.0,3,5,2004,0,1,8121,2996,853,0,6,4552319.4
67233.0,36.0,0,0,84,86885.0,10,5,2018,0,0,8416,4594,960,0,3,6731477.8
71104.0,57.0,0,0,93,3389.0,3,1,2008,1,1,3571,4468,854,1,4,7112359.8
60854.0,27.0,1,0,30,53332.0,10,7,2019,0,0,8561,2872,434,1,1,6092125.9
8904.0,96.0,1,1,37,47762.0,5,9,2016,0,0,173,6306,120,0,8,895624.6
72993.0,21.0,1,0,16,52942.0,3,8,2006,0,1,2092,8931,898,0,6,7303799.6
54780.0,70.0,0,1,3,31961.0,5,6,2017,1,1,2957,4536,704,1,3,5480478.7
32060.0,25.0,0,1,97,43201.0,8,9,2017,0,1,9618,9072,814,0,8,3211741.7
88100.0,6.0,0,0,70,52009.0,7,6,2020,0,1,3085,2155,775,1,9,8812852.0
46219.0,88.0,1,0,88,29524.0,6,9,2012,1,1,4624,4445,444,0,7,4631239.2
143.0,27.0,0,0,53,82480.0,5,2,2010,1,0,4426,5336,911,0,4,17071.0
97590.0,3.0,1,0,46,18812.0,5,2,2015,1,0,3855,718,946,1,2,9765039.5
47606.0,49.0,0,1,16,8451.0,2,4,2021,0,0,5121,7516,371,1,3,4763586.1
70690.0,21.0,0,0,53,63034.0,10,9,1992,1,0,9381,1177,722,0,2,7073132.2
82940.0,29.0,0,0,12,86015.0,4,6,1998,0,1,8542,4952,837,0,2,8294731.8
72070.0,75.0,0,1,98,62777.0,1,3,1999,1,0,2666,130,316,0,2,7220918.9
21671.0,71.0,0,0,25,97569.0,3,9,2007,0,1,7433,1958,987,0,6,2168225.7
65986.0,38.0,0,1,39,77763.0,6,1,2016,1,0,8778,1558,627,0,0,6605910.6
88935.0,70.0,1,1,28,41025.0,4,5,2002,1,1,5359,5273,680,0,4,8903298.2
92363.0,66.0,0,1,68,81910.0,1,9,2013,1,1,2054,186,551,1,5,9242507.3
56422.0,26.0,1,1,18,16945.0,9,4,1994,1,1,3405,2029,740,0,5,5650731.4
26061.0,95.0,0,0,27,18445.0,1,3,1993,0,0,4049,6484,848,1,9,2608428.3
60162.0,93.0,1,0,9,69653.0,5,9,2014,1,1,874,2635,101,1,9,6020751.4
7033.0,2.0,0,1,37,71260.0,9,10,2001,0,1,5051,6478,534,1,10,708252.1
68113.0,67.0,1,0,29,59595.0,9,2,2007,1,0,4788,7274,990,1,10,6817735.7
28743.0,30.0,1,0,49,51660.0,2,4,2000,0,1,2192,9484,989,0,6,2881705.0
49072.0,14.0,0,0,46,16773.0,5,1,2007,1,0,9889,5656,245,1,1,4910288.7
87668.0,58.0,0,0,56,18473.0,7,7,2017,1,0,9625,7161,590,1,6,8769343.7
71399.0,40.0,0,0,74,34136.0,5,10,1996,0,0,5484,6386,652,1,10,7141237.6
20001.0,37.0,1,0,48,52650.0,2,8,2013,0,0,7270,9374,919,1,7,2007477.3
663.0,59.0,0,0,9,31509.0,10,3,1990,0,1,2348,5137,260,0,1,67550.0
79837.0,56.0,0,1,61,9646.0,10,3,2019,0,0,6045,4814,939,0,8,7991469.9
22822.0,15.0,0,0,55,55916.0,1,9,2010,1,0,5197,8415,590,1,7,2285071.0
8639.0,44.0,0,1,93,81217.0,1,4,1998,0,0,7339,7122,808,1,2,872181.8
70607.0,8.0,0,1,28,48044.0,5,7,2009,0,0,6278,8181,397,0,0,7068284.9
37132.0,24.0,0,0,38,38630.0,1,1,2009,1,0,6546,5978,797,1,3,3714296.9
15662.0,41.0,1,0,28,47097.0,4,9,2008,1,1,6439,765,791,1,7,1573827.8
1450.0,59.0,0,0,1,2317.0,10,9,2018,1,1,1285,8119,869,1,10,146181.8
14465.0,3.0,0,1,80,61595.0,3,6,2016,1,0,1861,1310,170,0,7,1453919.6
46666.0,81.0,0,0,38,53916.0,4,10,2011,0,0,3128,7531,277,0,0,4668103.1
73126.0,5.0,1,1,77,85272.0,6,7,2019,1,0,4204,9856,636,0,8,7325036.9
5263.0,64.0,1,0,25,12196.0,1,3,2014,1,1,2881,1324,659,1,9,530890.4
88844.0,45.0,0,1,25,66148.0,10,4,2021,1,1,1565,3127,758,1,5,8887864.1
58806.0,12.0,1,1,74,4343.0,8,7,2020,1,0,1230,1973,817,0,10,5892769.0
45383.0,78.0,1,1,34,31904.0,1,2,1999,1,1,9672,5987,896,0,4,4542972.9
48452.0,5.0,1,0,53,71646.0,7,1,1997,1,1,8321,1905,482,0,10,4853030.7
85460.0,71.0,1,1,58,53878.0,5,10,2003,0,0,6799,4256,770,1,9,8557497.3
81902.0,38.0,0,0,85,99403.0,10,8,2010,0,0,885,854,514,1,1,8192941.0
37961.0,67.0,1,0,85,17385.0,8,2,2011,1,1,2733,9597,170,0,5,3806007.1
91524.0,23.0,1,1,43,55089.0,2,5,1998,1,1,4642,5648,945,0,5,9160076.8
58109.0,86.0,0,1,43,23197.0,8,8,2007,1,1,1093,5361,375,1,2,5819714.7
16368.0,99.0,1,1,85,6037.0,8,10,2007,1,1,5726,8799,637,1,1,1645556.7
13176.0,45.0,1,1,30,57287.0,4,2,2017,1,1,5805,9969,326,0,10,1326496.7
50967.0,54.0,1,0,14,20800.0,7,4,2007,1,0,9533,8112,566,0,8,5101814.7
